experiment_id,max_train_metric,max_val_metric,max_test_metric,tensorboard_dir,timestamp,clip_gradient_norm,is_data_dict,config_batch_size,config_bidirectional,config_ckpt,config_crepe,config_experiment_name,config_f0_threshold,config_frame_resolution,config_gpu,config_gru_units,config_loss,config_lr,config_lr_decay,config_lr_min,config_lr_scheduler,config_metric,config_mlp_layers,config_mlp_units,config_n_fft,config_n_freq,config_n_harmonics,config_n_mels,config_n_mfcc,config_max_voices,config_num_step,config_num_workers,config_optimizer,config_resume,config_sample_rate,config_seed,config_tensorboard_dir,config_test,config_train,config_use_reverb,config_use_z,config_valid_waveform_sec,config_validation_interval,config_waveform_sec,config_z_units,step,train_loss,train_metric,val_loss,val_metric
soloviolin,-21.772649461746216,-23.258508682250977,-100000000.0,../tensorboard_log/,20230506_165313,False,True,64,False,../../ckpt/violin/soloviolin.pth,full,soloviolin,0.5,0.004,0,512,mss,0.001,0.98,1e-07,multi,mss,3,512,2048,65,101,128,30,10,100000,4,radam,False,16000,940513,../tensorboard_log/,../data/violin/test/,../data/violin/train/,True,False,12,1000,1,16,1000,21.772649461746216,-21.772649461746216,23.258508682250977,-23.258508682250977
